case_id;event;timestamp;t_type;amount;electronic;framework_agr;nuts;country;cpv_division;cpv;case_len
EVAL0013;PUBLICATION;2024-09-21;W;2262000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0013;CONTRACT-START;2024-10-07;W;2262000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0013;CONTRACT-END;2024-11-16;W;2262000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0014;PARTICIPATION;2024-09-24;S;2268000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0014;AWARD;2024-09-26;S;2268000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0014;PUBLICATION;2024-10-01;S;2268000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0014;CONTRACT-START;2024-10-17;S;2268000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0014;CONTRACT-END;2024-11-26;S;2268000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0015;PARTICIPATION;2024-10-03;U;2274000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0015;AWARD;2024-10-05;U;2274000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0015;PUBLICATION;2024-10-11;U;2274000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0015;CONTRACT-START;2024-10-27;U;2274000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0015;CONTRACT-END;2024-12-06;U;2274000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0016;PUBLICATION;2024-12-26;W;2240000.0;N;N;ITI11;IT;33;33169100;5
EVAL0016;AWARD;2024-12-28;W;2240000.0;N;N;ITI11;IT;33;33169100;5
EVAL0016;PARTICIPATION;2024-12-30;W;2240000.0;N;N;ITI11;IT;33;33169100;5
EVAL0016;CONTRACT-START;2025-01-15;W;2240000.0;N;N;ITI11;IT;33;33169100;5
EVAL0016;CONTRACT-END;2025-02-24;W;2240000.0;N;N;ITI11;IT;33;33169100;5
EVAL0017;PUBLICATION;2025-01-04;S;2246000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0017;AWARD;2025-01-06;S;2246000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0017;PARTICIPATION;2025-01-09;S;2246000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0017;CONTRACT-START;2025-01-25;S;2246000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0017;CONTRACT-END;2025-03-06;S;2246000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0018;PUBLICATION;2025-01-13;U;2252000.0;N;N;ITI18;IT;45;45233120;5
EVAL0018;AWARD;2025-01-15;U;2252000.0;N;N;ITI18;IT;45;45233120;5
EVAL0018;PARTICIPATION;2025-01-19;U;2252000.0;N;N;ITI18;IT;45;45233120;5
EVAL0018;CONTRACT-START;2025-02-04;U;2252000.0;N;N;ITI18;IT;45;45233120;5
EVAL0018;CONTRACT-END;2025-03-16;U;2252000.0;N;N;ITI18;IT;45;45233120;5
EVAL0019;PUBLICATION;2025-01-22;W;2258000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0019;AWARD;2025-01-24;W;2258000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0019;PARTICIPATION;2025-01-29;W;2258000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0019;CONTRACT-START;2025-02-14;W;2258000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0019;CONTRACT-END;2025-03-26;W;2258000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0020;PUBLICATION;2025-01-31;S;2264000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0020;AWARD;2025-02-02;S;2264000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0020;PARTICIPATION;2025-02-08;S;2264000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0020;CONTRACT-START;2025-02-24;S;2264000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0020;CONTRACT-END;2025-04-05;S;2264000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0021;PUBLICATION;2025-04-25;U;2280000.0;Y;N;ITI11;IT;33;33169100;2
EVAL0021;PARTICIPATION;2025-04-29;U;2280000.0;Y;N;ITI11;IT;33;33169100;2
EVAL0022;PUBLICATION;2025-05-04;W;2288000.0;N;N;ITI31;IT;30;30200000;2
EVAL0022;PARTICIPATION;2025-05-09;W;2288000.0;N;N;ITI31;IT;30;30200000;2
EVAL0023;PUBLICATION;2025-05-13;S;2296000.0;Y;N;ITI18;IT;45;45233120;2
EVAL0023;PARTICIPATION;2025-05-19;S;2296000.0;Y;N;ITI18;IT;45;45233120;2
EVAL0024;PUBLICATION;2025-05-22;U;2304000.0;N;N;ITI4C;IT;50;50421000;2
EVAL0024;PARTICIPATION;2025-05-29;U;2304000.0;N;N;ITI4C;IT;50;50421000;2
EVAL0025;PUBLICATION;2025-05-31;W;2312000.0;Y;Y;ITI43;IT;33;33124110;2
EVAL0025;PARTICIPATION;2025-06-08;W;2312000.0;Y;Y;ITI43;IT;33;33124110;2
EVAL0026;PUBLICATION;2025-08-23;S;2350000.0;N;N;ITI11;IT;33;33169100;5
EVAL0026;PARTICIPATION;2025-08-28;S;2350000.0;N;N;ITI11;IT;33;33169100;5
EVAL0026;AWARD;2025-11-21;S;2350000.0;N;N;ITI11;IT;33;33169100;5
EVAL0026;CONTRACT-START;2025-12-01;S;2350000.0;N;N;ITI11;IT;33;33169100;5
EVAL0026;CONTRACT-END;2026-01-10;S;2350000.0;N;N;ITI11;IT;33;33169100;5
EVAL0027;PUBLICATION;2025-09-01;U;2360000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0027;PARTICIPATION;2025-09-06;U;2360000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0027;AWARD;2025-12-01;U;2360000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0027;CONTRACT-START;2025-12-11;U;2360000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0027;CONTRACT-END;2026-01-20;U;2360000.0;Y;N;ITI31;IT;30;30200000;5
EVAL0028;PUBLICATION;2025-09-10;W;2370000.0;N;N;ITI18;IT;45;45233120;5
EVAL0028;PARTICIPATION;2025-09-15;W;2370000.0;N;N;ITI18;IT;45;45233120;5
EVAL0028;AWARD;2025-12-11;W;2370000.0;N;N;ITI18;IT;45;45233120;5
EVAL0028;CONTRACT-START;2025-12-21;W;2370000.0;N;N;ITI18;IT;45;45233120;5
EVAL0028;CONTRACT-END;2026-01-30;W;2370000.0;N;N;ITI18;IT;45;45233120;5
EVAL0029;PUBLICATION;2025-09-19;S;2380000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0029;PARTICIPATION;2025-09-24;S;2380000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0029;AWARD;2025-12-21;S;2380000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0029;CONTRACT-START;2025-12-31;S;2380000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0029;CONTRACT-END;2026-02-09;S;2380000.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0030;PUBLICATION;2025-09-28;U;2390000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0030;PARTICIPATION;2025-10-03;U;2390000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0030;AWARD;2025-12-31;U;2390000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0030;CONTRACT-START;2026-01-10;U;2390000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0030;CONTRACT-END;2026-02-19;U;2390000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0031;PUBLICATION;2025-12-21;W;2180000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0031;PARTICIPATION;2025-12-26;W;2180000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0031;CONTRACT-START;2025-12-31;W;2180000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0031;AWARD;2026-01-05;W;2180000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0031;CONTRACT-END;2026-02-09;W;2180000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0032;PUBLICATION;2025-12-30;S;2185000.0;N;N;ITI31;IT;30;30200000;5
EVAL0032;PARTICIPATION;2026-01-04;S;2185000.0;N;N;ITI31;IT;30;30200000;5
EVAL0032;CONTRACT-START;2026-01-10;S;2185000.0;N;N;ITI31;IT;30;30200000;5
EVAL0032;AWARD;2026-01-15;S;2185000.0;N;N;ITI31;IT;30;30200000;5
EVAL0032;CONTRACT-END;2026-02-19;S;2185000.0;N;N;ITI31;IT;30;30200000;5
EVAL0033;PUBLICATION;2026-01-08;U;2190000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0033;PARTICIPATION;2026-01-13;U;2190000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0033;CONTRACT-START;2026-01-20;U;2190000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0033;AWARD;2026-01-25;U;2190000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0033;CONTRACT-END;2026-03-01;U;2190000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0034;PUBLICATION;2026-01-17;W;2195000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0034;PARTICIPATION;2026-01-22;W;2195000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0034;CONTRACT-START;2026-01-30;W;2195000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0034;AWARD;2026-02-04;W;2195000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0034;CONTRACT-END;2026-03-11;W;2195000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0035;PUBLICATION;2026-01-26;S;2200000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0035;PARTICIPATION;2026-01-31;S;2200000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0035;CONTRACT-START;2026-02-09;S;2200000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0035;AWARD;2026-02-14;S;2200000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0035;CONTRACT-END;2026-03-21;S;2200000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0036;PARTICIPATION;2026-04-20;U;2260000.0;N;N;ITI11;IT;33;33169100;5
EVAL0036;AWARD;2026-04-21;U;2260000.0;N;N;ITI11;IT;33;33169100;5
EVAL0036;CONTRACT-START;2026-04-22;U;2260000.0;N;N;ITI11;IT;33;33169100;5
EVAL0036;CONTRACT-END;2026-04-23;U;2260000.0;N;N;ITI11;IT;33;33169100;5
EVAL0036;PUBLICATION;2026-04-25;U;2260000.0;N;N;ITI11;IT;33;33169100;5
EVAL0037;PARTICIPATION;2026-04-29;W;2266500.0;Y;N;ITI31;IT;30;30200000;5
EVAL0037;AWARD;2026-04-30;W;2266500.0;Y;N;ITI31;IT;30;30200000;5
EVAL0037;CONTRACT-START;2026-05-01;W;2266500.0;Y;N;ITI31;IT;30;30200000;5
EVAL0037;CONTRACT-END;2026-05-02;W;2266500.0;Y;N;ITI31;IT;30;30200000;5
EVAL0037;PUBLICATION;2026-05-05;W;2266500.0;Y;N;ITI31;IT;30;30200000;5
EVAL0038;PARTICIPATION;2026-05-08;S;2273000.0;N;N;ITI18;IT;45;45233120;5
EVAL0038;AWARD;2026-05-09;S;2273000.0;N;N;ITI18;IT;45;45233120;5
EVAL0038;CONTRACT-START;2026-05-10;S;2273000.0;N;N;ITI18;IT;45;45233120;5
EVAL0038;CONTRACT-END;2026-05-11;S;2273000.0;N;N;ITI18;IT;45;45233120;5
EVAL0038;PUBLICATION;2026-05-15;S;2273000.0;N;N;ITI18;IT;45;45233120;5
EVAL0039;PARTICIPATION;2026-05-17;U;2279500.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0039;AWARD;2026-05-18;U;2279500.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0039;CONTRACT-START;2026-05-19;U;2279500.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0039;CONTRACT-END;2026-05-20;U;2279500.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0039;PUBLICATION;2026-05-25;U;2279500.0;Y;N;ITI4C;IT;50;50421000;5
EVAL0040;PARTICIPATION;2026-05-26;W;2286000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0040;AWARD;2026-05-27;W;2286000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0040;CONTRACT-START;2026-05-28;W;2286000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0040;CONTRACT-END;2026-05-29;W;2286000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0040;PUBLICATION;2026-06-04;W;2286000.0;N;Y;ITI43;IT;33;33124110;5
EVAL0041;PUBLICATION;2026-08-18;S;2210000.0;Y;N;ITI11;IT;33;33169100;2
EVAL0041;CONTRACT-END;2026-08-20;S;2210000.0;Y;N;ITI11;IT;33;33169100;2
EVAL0042;PUBLICATION;2026-08-27;U;2214000.0;N;N;ITI31;IT;30;30200000;2
EVAL0042;CONTRACT-END;2026-08-30;U;2214000.0;N;N;ITI31;IT;30;30200000;2
EVAL0043;PUBLICATION;2026-09-05;W;2218000.0;Y;N;ITI18;IT;45;45233120;2
EVAL0043;CONTRACT-END;2026-09-09;W;2218000.0;Y;N;ITI18;IT;45;45233120;2
EVAL0044;PUBLICATION;2026-09-14;S;2222000.0;N;N;ITI4C;IT;50;50421000;2
EVAL0044;CONTRACT-END;2026-09-19;S;2222000.0;N;N;ITI4C;IT;50;50421000;2
EVAL0045;PUBLICATION;2026-09-23;U;2226000.0;Y;Y;ITI43;IT;33;33124110;2
EVAL0045;CONTRACT-END;2026-09-29;U;2226000.0;Y;Y;ITI43;IT;33;33124110;2
EVAL0046;PUBLICATION;2026-12-16;W;2290000.0;N;N;ITI11;IT;33;33169100;4
EVAL0046;PARTICIPATION;2026-12-21;W;2290000.0;N;N;ITI11;IT;33;33169100;4
EVAL0046;AWARD;2026-12-31;W;2290000.0;N;N;ITI11;IT;33;33169100;4
EVAL0046;CONTRACT-START;2027-01-10;W;2290000.0;N;N;ITI11;IT;33;33169100;4
EVAL0047;PUBLICATION;2026-12-25;S;2296000.0;Y;N;ITI31;IT;30;30200000;4
EVAL0047;PARTICIPATION;2026-12-30;S;2296000.0;Y;N;ITI31;IT;30;30200000;4
EVAL0047;AWARD;2027-01-09;S;2296000.0;Y;N;ITI31;IT;30;30200000;4
EVAL0047;CONTRACT-START;2027-01-20;S;2296000.0;Y;N;ITI31;IT;30;30200000;4
EVAL0048;PUBLICATION;2027-01-03;U;2302000.0;N;N;ITI18;IT;45;45233120;4
EVAL0048;PARTICIPATION;2027-01-08;U;2302000.0;N;N;ITI18;IT;45;45233120;4
EVAL0048;AWARD;2027-01-18;U;2302000.0;N;N;ITI18;IT;45;45233120;4
EVAL0048;CONTRACT-START;2027-01-30;U;2302000.0;N;N;ITI18;IT;45;45233120;4
EVAL0049;PUBLICATION;2027-01-12;W;2308000.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0049;PARTICIPATION;2027-01-17;W;2308000.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0049;AWARD;2027-01-27;W;2308000.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0049;CONTRACT-START;2027-02-09;W;2308000.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0050;PUBLICATION;2027-01-21;S;2314000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0050;PARTICIPATION;2027-01-26;S;2314000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0050;AWARD;2027-02-05;S;2314000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0050;CONTRACT-START;2027-02-19;S;2314000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0051;PUBLICATION;2027-04-15;U;2270000.0;Y;N;ITI11;IT;33;33169100;4
EVAL0051;PARTICIPATION;2027-04-20;U;2270000.0;Y;N;ITI11;IT;33;33169100;4
EVAL0051;AWARD;2027-04-30;U;2270000.0;Y;N;ITI11;IT;33;33169100;4
EVAL0051;CONTRACT-END;2027-05-10;U;2270000.0;Y;N;ITI11;IT;33;33169100;4
EVAL0052;PUBLICATION;2027-04-24;W;2276000.0;N;N;ITI31;IT;30;30200000;4
EVAL0052;PARTICIPATION;2027-04-29;W;2276000.0;N;N;ITI31;IT;30;30200000;4
EVAL0052;AWARD;2027-05-09;W;2276000.0;N;N;ITI31;IT;30;30200000;4
EVAL0052;CONTRACT-END;2027-05-20;W;2276000.0;N;N;ITI31;IT;30;30200000;4
EVAL0053;PUBLICATION;2027-05-03;S;2282000.0;Y;N;ITI18;IT;45;45233120;4
EVAL0053;PARTICIPATION;2027-05-08;S;2282000.0;Y;N;ITI18;IT;45;45233120;4
EVAL0053;AWARD;2027-05-18;S;2282000.0;Y;N;ITI18;IT;45;45233120;4
EVAL0053;CONTRACT-END;2027-05-30;S;2282000.0;Y;N;ITI18;IT;45;45233120;4
EVAL0054;PUBLICATION;2027-05-12;U;2288000.0;N;N;ITI4C;IT;50;50421000;4
EVAL0054;PARTICIPATION;2027-05-17;U;2288000.0;N;N;ITI4C;IT;50;50421000;4
EVAL0054;AWARD;2027-05-27;U;2288000.0;N;N;ITI4C;IT;50;50421000;4
EVAL0054;CONTRACT-END;2027-06-09;U;2288000.0;N;N;ITI4C;IT;50;50421000;4
EVAL0055;PUBLICATION;2027-05-21;W;2294000.0;Y;Y;ITI43;IT;33;33124110;4
EVAL0055;PARTICIPATION;2027-05-26;W;2294000.0;Y;Y;ITI43;IT;33;33124110;4
EVAL0055;AWARD;2027-06-05;W;2294000.0;Y;Y;ITI43;IT;33;33124110;4
EVAL0055;CONTRACT-END;2027-06-19;W;2294000.0;Y;Y;ITI43;IT;33;33124110;4
EVAL0056;PUBLICATION;2027-08-13;S;2220000.0;N;N;ITI11;IT;33;33169100;4
EVAL0056;PARTICIPATION;2027-08-18;S;2220000.0;N;N;ITI11;IT;33;33169100;4
EVAL0056;CONTRACT-START;2027-08-23;S;2220000.0;N;N;ITI11;IT;33;33169100;4
EVAL0056;CONTRACT-END;2027-09-02;S;2220000.0;N;N;ITI11;IT;33;33169100;4
EVAL0057;PUBLICATION;2027-08-22;U;2224500.0;Y;N;ITI31;IT;30;30200000;4
EVAL0057;PARTICIPATION;2027-08-27;U;2224500.0;Y;N;ITI31;IT;30;30200000;4
EVAL0057;CONTRACT-START;2027-09-01;U;2224500.0;Y;N;ITI31;IT;30;30200000;4
EVAL0057;CONTRACT-END;2027-09-12;U;2224500.0;Y;N;ITI31;IT;30;30200000;4
EVAL0058;PUBLICATION;2027-08-31;W;2229000.0;N;N;ITI18;IT;45;45233120;4
EVAL0058;PARTICIPATION;2027-09-05;W;2229000.0;N;N;ITI18;IT;45;45233120;4
EVAL0058;CONTRACT-START;2027-09-10;W;2229000.0;N;N;ITI18;IT;45;45233120;4
EVAL0058;CONTRACT-END;2027-09-22;W;2229000.0;N;N;ITI18;IT;45;45233120;4
EVAL0059;PUBLICATION;2027-09-09;S;2233500.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0059;PARTICIPATION;2027-09-14;S;2233500.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0059;CONTRACT-START;2027-09-19;S;2233500.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0059;CONTRACT-END;2027-10-02;S;2233500.0;Y;N;ITI4C;IT;50;50421000;4
EVAL0060;PUBLICATION;2027-09-18;U;2238000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0060;PARTICIPATION;2027-09-23;U;2238000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0060;CONTRACT-START;2027-09-28;U;2238000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0060;CONTRACT-END;2027-10-12;U;2238000.0;N;Y;ITI43;IT;33;33124110;4
EVAL0061;PUBLICATION;2026-01-01;W;2100000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0061;PARTICIPATION;2026-01-06;W;2100000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0061;AWARD;2026-01-31;W;2100000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0061;CONTRACT-START;2026-02-10;W;2100000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0061;CONTRACT-END;2026-04-01;W;2100000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0062;PUBLICATION;2026-01-12;S;2110000.0;N;N;ITI31;IT;30;30200000;5
EVAL0062;PARTICIPATION;2026-01-18;S;2110000.0;N;N;ITI31;IT;30;30200000;5
EVAL0062;AWARD;2026-02-12;S;2110000.0;N;N;ITI31;IT;30;30200000;5
EVAL0062;CONTRACT-START;2026-02-22;S;2110000.0;N;N;ITI31;IT;30;30200000;5
EVAL0062;CONTRACT-END;2026-04-13;S;2110000.0;N;N;ITI31;IT;30;30200000;5
EVAL0063;PUBLICATION;2026-01-23;U;2120000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0063;PARTICIPATION;2026-01-30;U;2120000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0063;AWARD;2026-02-24;U;2120000.0;Y;N;ITI18;IT;45;45233120;5
