case_id,scenario,target_rule,variant,expected_case_violation,predicted_case_violation,exact_match_all_12,overall_status,non_compliant_count,compliant_count,human_required_count,insufficient_information_count
EVAL0023,targeted_positive,R05_PUBLICATION_AND_PARTICIPATION_REQUIRE_AWARD,3,1,1,1,NON_COMPLIANT,1,3,0,8
EVAL0024,targeted_positive,R05_PUBLICATION_AND_PARTICIPATION_REQUIRE_AWARD,4,1,1,1,NON_COMPLIANT,1,2,0,9
EVAL0025,targeted_positive,R05_PUBLICATION_AND_PARTICIPATION_REQUIRE_AWARD,5,1,1,1,NON_COMPLIANT,1,2,0,9
EVAL0026,targeted_positive,R06_AWARD_WITHIN_70_DAYS,1,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0027,targeted_positive,R06_AWARD_WITHIN_70_DAYS,2,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0028,targeted_positive,R06_AWARD_WITHIN_70_DAYS,3,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0029,targeted_positive,R06_AWARD_WITHIN_70_DAYS,4,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0030,targeted_positive,R06_AWARD_WITHIN_70_DAYS,5,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0031,targeted_positive,R07_NO_CONTRACT_START_WITHOUT_AWARD,1,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0032,targeted_positive,R07_NO_CONTRACT_START_WITHOUT_AWARD,2,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0033,targeted_positive,R07_NO_CONTRACT_START_WITHOUT_AWARD,3,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0034,targeted_positive,R07_NO_CONTRACT_START_WITHOUT_AWARD,4,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0035,targeted_positive,R07_NO_CONTRACT_START_WITHOUT_AWARD,5,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0036,targeted_positive,R08_NO_CONTRACT_END_BEFORE_PUBLICATION,1,1,1,0,NON_COMPLIANT,3,9,0,0
EVAL0037,targeted_positive,R08_NO_CONTRACT_END_BEFORE_PUBLICATION,2,1,1,0,NON_COMPLIANT,3,9,0,0
EVAL0038,targeted_positive,R08_NO_CONTRACT_END_BEFORE_PUBLICATION,3,1,1,0,NON_COMPLIANT,3,9,0,0
EVAL0039,targeted_positive,R08_NO_CONTRACT_END_BEFORE_PUBLICATION,4,1,1,0,NON_COMPLIANT,3,9,0,0
EVAL0040,targeted_positive,R08_NO_CONTRACT_END_BEFORE_PUBLICATION,5,1,1,0,NON_COMPLIANT,3,9,0,0
EVAL0041,targeted_positive,R09_NO_CONTRACT_END_RIGHT_AFTER_PUBLICATION_WITHOUT_PARTICIPATION_AND_AWARD,1,1,1,1,NON_COMPLIANT,3,4,0,5
EVAL0042,targeted_positive,R09_NO_CONTRACT_END_RIGHT_AFTER_PUBLICATION_WITHOUT_PARTICIPATION_AND_AWARD,2,1,1,1,NON_COMPLIANT,3,4,0,5
EVAL0043,targeted_positive,R09_NO_CONTRACT_END_RIGHT_AFTER_PUBLICATION_WITHOUT_PARTICIPATION_AND_AWARD,3,1,1,1,NON_COMPLIANT,3,4,0,5
EVAL0044,targeted_positive,R09_NO_CONTRACT_END_RIGHT_AFTER_PUBLICATION_WITHOUT_PARTICIPATION_AND_AWARD,4,1,1,1,NON_COMPLIANT,3,3,0,6
EVAL0045,targeted_positive,R09_NO_CONTRACT_END_RIGHT_AFTER_PUBLICATION_WITHOUT_PARTICIPATION_AND_AWARD,5,1,1,1,NON_COMPLIANT,3,3,0,6
EVAL0046,targeted_positive,R10_CONTRACT_START_REQUIRES_CONTRACT_END,1,1,1,1,NON_COMPLIANT,1,9,0,2
EVAL0047,targeted_positive,R10_CONTRACT_START_REQUIRES_CONTRACT_END,2,1,1,1,NON_COMPLIANT,1,8,0,3
EVAL0048,targeted_positive,R10_CONTRACT_START_REQUIRES_CONTRACT_END,3,1,1,1,NON_COMPLIANT,1,9,0,2
EVAL0049,targeted_positive,R10_CONTRACT_START_REQUIRES_CONTRACT_END,4,1,1,1,NON_COMPLIANT,1,8,0,3
EVAL0050,targeted_positive,R10_CONTRACT_START_REQUIRES_CONTRACT_END,5,1,1,1,NON_COMPLIANT,1,8,0,3
EVAL0051,targeted_positive,R11_CONTRACT_END_REQUIRES_CONTRACT_START,1,1,1,1,NON_COMPLIANT,1,10,0,1
EVAL0052,targeted_positive,R11_CONTRACT_END_REQUIRES_CONTRACT_START,2,1,1,1,NON_COMPLIANT,1,10,0,1
EVAL0053,targeted_positive,R11_CONTRACT_END_REQUIRES_CONTRACT_START,3,1,1,1,NON_COMPLIANT,1,9,0,2
EVAL0054,targeted_positive,R11_CONTRACT_END_REQUIRES_CONTRACT_START,4,1,1,1,NON_COMPLIANT,1,10,0,1
EVAL0055,targeted_positive,R11_CONTRACT_END_REQUIRES_CONTRACT_START,5,1,1,1,NON_COMPLIANT,1,10,0,1
EVAL0056,targeted_positive,R12_CONTRACT_END_REQUIRES_AWARD,1,1,1,0,NON_COMPLIANT,4,5,0,3
EVAL0057,targeted_positive,R12_CONTRACT_END_REQUIRES_AWARD,2,1,1,0,NON_COMPLIANT,4,5,0,3
EVAL0058,targeted_positive,R12_CONTRACT_END_REQUIRES_AWARD,3,1,1,0,NON_COMPLIANT,3,5,1,3
EVAL0059,targeted_positive,R12_CONTRACT_END_REQUIRES_AWARD,4,1,1,0,NON_COMPLIANT,4,4,1,3
EVAL0060,targeted_positive,R12_CONTRACT_END_REQUIRES_AWARD,5,1,1,0,NON_COMPLIANT,4,5,0,3
EVAL0061,compliant_control,,1,0,0,1,COMPLIANT,0,12,0,0
EVAL0062,compliant_control,,2,0,0,1,COMPLIANT,0,12,0,0
EVAL0063,compliant_control,,3,0,0,1,COMPLIANT,0,12,0,0
EVAL0064,compliant_control,,4,0,0,1,COMPLIANT,0,12,0,0
EVAL0065,compliant_control,,5,0,0,1,COMPLIANT,0,12,0,0
EVAL0066,compliant_control,,6,0,0,1,COMPLIANT,0,12,0,0
EVAL0067,compliant_control,,7,0,0,1,COMPLIANT,0,12,0,0
EVAL0068,compliant_control,,8,0,0,1,COMPLIANT,0,12,0,0
EVAL0069,compliant_control,,9,0,0,1,COMPLIANT,0,12,0,0
EVAL0070,compliant_control,,10,0,0,1,COMPLIANT,0,12,0,0
EVAL0071,compliant_control,,11,0,0,1,COMPLIANT,0,12,0,0
EVAL0072,compliant_control,,12,0,0,1,COMPLIANT,0,12,0,0
EVAL0073,compliant_control,,13,0,0,1,COMPLIANT,0,12,0,0
EVAL0074,compliant_control,,14,0,0,1,COMPLIANT,0,12,0,0
EVAL0075,compliant_control,,15,0,0,1,COMPLIANT,0,12,0,0
EVAL0076,compliant_control,,16,0,0,1,COMPLIANT,0,12,0,0
EVAL0077,compliant_control,,17,0,0,1,COMPLIANT,0,12,0,0
EVAL0078,compliant_control,,18,0,0,1,COMPLIANT,0,12,0,0
EVAL0079,compliant_control,,19,0,0,1,COMPLIANT,0,12,0,0
EVAL0080,compliant_control,,20,0,0,1,COMPLIANT,0,12,0,0
EVAL0081,compliant_control,,21,0,0,1,COMPLIANT,0,12,0,0
EVAL0082,compliant_control,,22,0,0,1,COMPLIANT,0,12,0,0
EVAL0083,compliant_control,,23,0,0,1,COMPLIANT,0,12,0,0
EVAL0084,compliant_control,,24,0,0,1,COMPLIANT,0,12,0,0
EVAL0085,compliant_control,,25,0,0,1,COMPLIANT,0,12,0,0
EVAL0086,compliant_control,,26,0,0,1,COMPLIANT,0,12,0,0
EVAL0087,compliant_control,,27,0,0,1,COMPLIANT,0,12,0,0
EVAL0088,compliant_control,,28,0,0,1,COMPLIANT,0,12,0,0
EVAL0089,compliant_control,,29,0,0,1,COMPLIANT,0,12,0,0
EVAL0090,compliant_control,,30,0,0,1,COMPLIANT,0,12,0,0
EVAL0091,compliant_control,,31,0,0,1,COMPLIANT,0,12,0,0
EVAL0092,compliant_control,,32,0,0,1,COMPLIANT,0,12,0,0
EVAL0093,compliant_control,,33,0,0,1,COMPLIANT,0,12,0,0
EVAL0094,compliant_control,,34,0,0,1,COMPLIANT,0,12,0,0
EVAL0095,compliant_control,,35,0,0,1,COMPLIANT,0,12,0,0
EVAL0096,compliant_control,,36,0,0,1,COMPLIANT,0,12,0,0
EVAL0097,compliant_control,,37,0,0,1,COMPLIANT,0,12,0,0
EVAL0098,compliant_control,,38,0,1,0,NON_COMPLIANT,1,11,0,0
EVAL0099,compliant_control,,39,0,0,1,COMPLIANT,0,12,0,0
EVAL0100,compliant_control,,40,0,1,0,NON_COMPLIANT,1,11,0,0
